tab	sites
site	location	samples	specimens	age_high	age_low	age_unit	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	lat	lon	geologic_classes	geologic_types	lithologies	analysts	software_packages	citations	method_codes	result_quality	vgp_dm	vgp_dp	vgp_lat	vgp_lon
SD17	Zalawt plain	SD17-2:SD17-3	SD17-2:SD17-3	735	726	Ma	33.4	lt	355.3	28.1	58.0	2.0	2.0	2.0	0.0	n	1.9828	0.0	17.0603	54.9047	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	36.6	20.0	85.0	300.1
SD17	Zalawt plain	SD17-1:SD17-2	SD17-1:SD17-2	735	726	Ma	180.0	mag	82.2	54.3	9.0	2.0	2.0	2.0	0.0	t	1.8872	0.0	17.0603	54.9047	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:DE-BFL-A:LP-DC4:FS-LOC-GPS	g	253.2	178.1	15.9	112.6
SD17	Zalawt plain	SD17-1:SD17-2:SD17-3	SD17-1:SD17-2:SD17-3	735	726	Ma	55.1	mt	300.9	-65.9	6.0	3.0	3.0	3.0	0.0	t	2.6712	0.0	17.0603	54.9047	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM:FS-LOC-GPS	g	90.0	73.5	6.2	270.0
SD18	Zalawt plain	SD18-1:SD18-2:SD18-3:SD18-4:SD18-5	SD18-1:SD18-2:SD18-3:SD18-4:SD18-5	735	726	Ma	13.3	mt	268.3	-56.0	34.0	5.0	5.0	5.0	0.0	t	4.8819	0.0	17.0594	54.905	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM:FS-LOC-GPS	g	19.1	13.7	-11.4	289.9
SD18	Zalawt plain	SD18-1:SD18-2:SD18-3:SD18-4:SD18-5	SD18-1:SD18-2:SD18-3:SD18-4:SD18-5	735	726	Ma	23.6	lt	342.8	56.6	11.0	5.0	5.0	5.0	0.0	n	4.6516	0.0	17.0594	54.905	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM:FS-LOC-GPS	g	34.2	24.7	64.9	21.2
SD18	Zalawt plain	SD18-1:SD18-3:SD18-4:SD18-5	SD18-1:SD18-3:SD18-4:SD18-5	735	726	Ma	9.8	mag	269.6	-71.5	88.0	4.0	4.0	4.0	0.0	t	3.966	0.0	17.0594	54.905	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:DE-BFL-A:LP-DC4:DE-FM:FS-LOC-GPS	g	17.2	15.1	-14.4	269.9
SD19	Zalawt plain	SD19-1:SD19-2:SD19-3:SD19-4:SD19-5:SD19-6	SD19-1:SD19-2:SD19-3:SD19-4:SD19-5:SD19-6	735	726	Ma	6.0	mag	275.7	-68.3	124.0	6.0	6.0	6.0	0.0	t	5.9598	0.0	17.0586	54.9028	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4:DE-FM:FS-LOC-GPS	g	10.1	8.5	-9.8	273.9
SD19	Zalawt plain	SD19-1:SD19-2:SD19-3:SD19-4:SD19-5:SD19-6	SD19-1:SD19-2:SD19-3:SD19-4:SD19-5:SD19-6	735	726	Ma	18.4	lt	28.6	39.7	14.0	6.0	6.0	6.0	0.0	n	5.6481	0.0	17.0586	54.9028	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM:FS-LOC-GPS	g	22.1	13.3	62.6	128.8
SD2	Zalawt plain	SD2-1:SD2-2	SD2-1:SD2-2	735	726	Ma	58.2	lt	28.0	22.5	21.0	2.0	2.0	2.0	0.0	n	1.9514	0.0	17.052	54.8509	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:FS-LOC-GPS	g	61.7	32.7	62.4	152.4
SD2	Zalawt plain	SD2-1:SD2-2	SD2-1:SD2-2	735	726	Ma	30.6	mag	280.4	-63.1	69.0	2.0	2.0	2.0	0.0	t	1.9854	0.0	17.052	54.8509	Igneous	Volcanic Dike	Mafic Dike		pmagpy-4.2.125: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:DE-BFL:LP-DC4:FS-LOC-GPS	g	48.2	37.9	-4.8	279.6
