tab	specimens
specimen	experiments	sample	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	meas_step_max	meas_step_min	meas_step_unit	analysts	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	volume	weight	location	site
S101-3	S101-3_LP-DIR-T	S101-3		mag	260.4	-60.6	1.0	6.0	100.0	4.0	1.6	813.0	613.0	K		hargrave 2024-07-11 13:39:08	pmagpy-4.2.125: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:SP-SAW	g			Zalawt plain	S101
S101-3	S101-3_LP-DIR-T	S101-3		mag	269.6	-58.0	1.0	6.0	0.0	4.0	1.6	813.0	613.0	K		hargrave 2024-07-11 13:39:08	pmagpy-4.2.125: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW	g			Zalawt plain	S101
S103-1	S103-1_LP-DIR-T	S103-1		mag	279.0	-74.3	1.0	10.0	100.0	3.9	11.7	863.0	813.0	K		hargrave 2024-07-14 12:04:53	pmagpy-4.2.125: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:SP-SAW	g			Zalawt plain	S103
S103-1	S103-1_LP-DIR-T	S103-1		mag	292.1	-69.9	1.0	10.0	0.0	3.9	11.7	863.0	813.0	K		hargrave 2024-07-14 12:04:53	pmagpy-4.2.125: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW	g			Zalawt plain	S103
S103-2	S103-2_LP-DIR-T	S103-2		mag	287.1	-67.0	1.0	9.0	0.0	19.3	19.7	863.0	823.0	K		hargrave 2024-07-14 12:06:21	pmagpy-4.2.125: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW	g			Zalawt plain	S103
S103-2	S103-2_LP-DIR-T	S103-2		mag	275.1	-71.1	1.0	9.0	100.0	19.3	19.7	863.0	823.0	K		hargrave 2024-07-14 12:06:21	pmagpy-4.2.125: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:SP-SAW	g			Zalawt plain	S103
S103-3	S103-3_LP-DIR-T	S103-3		mag	282.3	-69.2	1.0	13.0	0.0	5.5	9.6	863.0	753.0	K		hargrave 2024-07-14 12:07:47	pmagpy-4.2.125: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW	g			Zalawt plain	S103
S103-3	S103-3_LP-DIR-T	S103-3		mag	267.9	-72.8	1.0	13.0	100.0	5.5	9.6	863.0	753.0	K		hargrave 2024-07-14 12:07:47	pmagpy-4.2.125: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:SP-SAW	g			Zalawt plain	S103
S104-2	S104-2_LP-DIR-T	S104-2		mag	89.7	53.1	1.0	6.0	0.0	4.3	4.5	838.0	793.0	K		hargrave 2024-07-11 20:05:49	pmagpy-4.2.125: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW	g			Zalawt plain	S104
S104-2	S104-2_LP-DIR-T	S104-2		mag	82.0	55.8	1.0	6.0	100.0	4.3	4.5	838.0	793.0	K		hargrave 2024-07-11 20:05:49	pmagpy-4.2.125: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:SP-SAW	g			Zalawt plain	S104
S104-3	S104-3_LP-DIR-T	S104-3		mag	71.3	49.2	1.0	10.0	0.0	3.1	2.0	856.0	793.0	K		hargrave 2024-07-12 18:20:35	pmagpy-4.2.125: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW	g			Zalawt plain	S104
S104-3	S104-3_LP-DIR-T	S104-3		mag	64.2	50.1	1.0	10.0	100.0	3.1	2.0	856.0	793.0	K		hargrave 2024-07-12 18:20:35	pmagpy-4.2.125: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:SP-SAW	g			Zalawt plain	S104
S104-4	S104-4_LP-DIR-T	S104-4		mag	64.6	60.2	1.0	8.0	100.0	2.2	1.4	848.0	793.0	K		hargrave 2024-07-12 11:52:58	pmagpy-4.2.125: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:SP-SAW	g			Zalawt plain	S104
S104-4	S104-4_LP-DIR-T	S104-4		mag	74.9	59.1	1.0	8.0	0.0	2.2	1.4	848.0	793.0	K		hargrave 2024-07-12 11:52:58	pmagpy-4.2.125: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW	g			Zalawt plain	S104
S104-5	S104-5_LP-DIR-T	S104-5		mag	81.6	54.3	2.0	9.0	0.0	1.9	7.0	848.0	773.0	K		hargrave 2024-07-12 11:54:35	pmagpy-4.2.125: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW	g			Zalawt plain	S104
S104-5	S104-5_LP-DIR-T	S104-5		lt	349.8	31.7	2.0	3.0	100.0	43.8	7.1	423.0	273.0	K		hargrave 2024-07-12 11:54:35	pmagpy-4.2.125: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:SP-SAW	g			Zalawt plain	S104
S104-5	S104-5_LP-DIR-T	S104-5		mag	73.2	56.2	2.0	9.0	100.0	1.9	7.0	848.0	773.0	K		hargrave 2024-07-12 11:54:35	pmagpy-4.2.125: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:SP-SAW	g			Zalawt plain	S104
S104-5	S104-5_LP-DIR-T	S104-5		lt	351.4	37.4	2.0	3.0	0.0	43.8	7.1	423.0	273.0	K		hargrave 2024-07-12 11:54:35	pmagpy-4.2.125: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW	g			Zalawt plain	S104
S104-6	S104-6_LP-DIR-T	S104-6		mag	81.7	54.1	2.0	10.0	0.0	0.1	7.1	848.0	753.0	K		hargrave 2024-07-12 11:56:12	pmagpy-4.2.125: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW	g			Zalawt plain	S104
S104-6	S104-6_LP-DIR-T	S104-6		lt	354.7	37.3	2.0	4.0	0.0	35.8	8.2	553.0	273.0	K		hargrave 2024-07-12 11:56:12	pmagpy-4.2.125: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:SP-SAW	g			Zalawt plain	S104
S104-6	S104-6_LP-DIR-T	S104-6		mag	73.4	56.0	2.0	10.0	100.0	0.1	7.1	848.0	753.0	K		hargrave 2024-07-12 11:56:12	pmagpy-4.2.125: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:SP-SAW	g			Zalawt plain	S104
S104-6	S104-6_LP-DIR-T	S104-6		lt	353.0	31.7	2.0	4.0	100.0	35.8	8.2	553.0	273.0	K		hargrave 2024-07-12 11:56:12	pmagpy-4.2.125: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:SP-SAW	g			Zalawt plain	S104
